comment,identity_attack,insult,obscene,severe_toxicity,sexual_explicit,threat,toxicity
Seni beyenmedi,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Bunu oxuyana xalq artisti adı verilməlidi ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Heç xəbərdarlıq ediləsi birşey deyildi o hamı bilirki dronlar niye uçur harda uçur,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dığalar sizin tərəfə gələndə onlarla dostlaşarsınız biz isə dığalarla qanlı düşməniy və o torpağlara gedəcəyik və yaşayacayığ,1.0,1.0,0.0,0.0,0.0,0.0,1.0
Baş gedib baş ‍️‍️‍️,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Arvadındı?,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Çıxarana oxşamadı nəsə,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Ne deyim baxin da ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paxilsan?)))),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yusif,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mən atdım sizə,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Can ürəyim deyerem️,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ləzzət elediee,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sevinceydiler,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oğlan muzeylikdir aparın qoyun muzeyə),0.0,1.0,0.0,0.0,0.0,0.0,1.0
Mende isdedm lap,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Usaga pis sozlər oyrədirki de‍biyabrciliqdi,0.0,1.0,0.0,0.0,0.0,0.0,1.0
‍‍‍vətən xainləri bir sozlə,0.0,1.0,0.0,0.0,0.0,0.0,1.0
İsmayıbəyli,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BP Azərbaycanda fəaliyyət göstərir bu o demək deyil ki biz heç kimik. Azərbaycan Dünyada söz sahibi ölkədir,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Anti-türk siyasətidir sadəcə, bu qədər",0.0,1.0,0.0,0.0,0.0,0.0,1.0
O boyda sermaye qoyubsa demek bosuna deyil bu hemde yahudi lobbisi el cekmezdi trampdan o atilmasa idi,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Kısı olmadın,0.0,1.0,0.0,0.0,0.0,0.0,1.0
"Allah rəhmət eləsin, teleqramda pullu kanalı varidi, orda 18+ öz videoların paylaşırdı",0.0,0.0,0.0,0.0,1.0,0.0,1.0
Salam kiwiler,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ermənistan cadu elətdirib deyəsən.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Millet acinan qirilir biz ne fikirdeyiy weherin yerin deywmey isdeyiriy,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yox İlham Rəhimov,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Basha dushmedim,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bəh bəh bəh arayik təmiz qıy verib,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bunlar hamısı bosh)))) ve mənasız çatda tanishliq ele çatda da bitər)))) uşaq isi))),0.0,1.0,0.0,0.0,0.0,0.0,1.0
"Mən hech bir dəlinin küçəde tanımadığı kimisə öldürdüyünü görməmişəm deli odur ki beynində olmayan şeylər yaradır,reallıqdan uzaqlaşır sosial münasibətlər ailə münasibətlər pozulur ,hadisələr düzür qoshur beyninde tanımadığı insanla nə hekayə qursun.Cesaret üçündə misalçün bir iki doza pati onun qarşısında vaqon da durmaz.Bu hadisə mehlemin yanında olub Köhnə guneshlide qalıram hami ağıl verir mənə bilirik ki nəsə deyirik",0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stepanakert oldu istipanakert))),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bele pis chixmasin haravizdadiki vicdan cizz eliyir,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Yenə eyni şey olur. Ele bil 365 manat pul almısan, 365 gün sonra qaytarmalısan.",0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bu xanim her mala 5 m artx pul verir onu deyrem serf etmr,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Ər çörəyinə tez tələsiblər,0.0,1.0,0.0,0.0,0.0,0.0,1.0
"Artıq zamanı gəlmişdir və türk olduğumuzu millətimizə anladıb dərk etdirməliyik.Millətimiz nə rus nədə fars deyillər, Millətimiz Türk millətidir.",1.0,0.0,0.0,0.0,0.0,0.0,1.0
Ferqi yoxdu o insanların ekseriyyeti tek qalanda kaş cavan olardım deyir yada Ölerdim deyir sen dediyin canı şirin olanlar varlı insanlardı yada sağlam insanlar,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Allah onda yaxşı insanları qorusun,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Səni görüm onun kimi şəhid olasan ( kiminsə qucağında),0.0,1.0,0.0,0.0,0.0,0.0,1.0
Axşamlar xeyr,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bu Çağırışlar göndərirləre camaata,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ferq nededir ?,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adın nə idi sənin ?,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sen bunu aztv de birde o yahudiye yaxın insanlara caxnaşmaya çalışanlar bellidi,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Qaqa Liva haradı biri desinde mene nolar,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hamı rus girisire,1.0,0.0,1.0,0.0,0.0,0.0,1.0
Tamam muharrem ince var,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Siz narahat olmayin,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Maman atanda onu deyir ,evde qal bezdir bizi ",0.0,1.0,0.0,0.0,0.0,0.0,1.0
Onsuzda vecimə deyil ərəblər kefdədi calıb oynayırlar,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Qadinlarda oynayir ee‍‍orda yolalar o kisini gərek‍‍,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Psixoloqların çox vaxt özlərinə psixoloq lazım olur.,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Qızıfsamı a bala,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gözumun qabağina gelsede yeyerem kökelmek problemi olmasa hergun gederem amma bele ayda 1-2 defe gedib yeyirem doyunca,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Soz soruwduxda,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sizin cemiyyet icinde yazmaga haqqiniz yoxdu!,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Bunlar da ermeniler kimi ancaq multik çəkir,1.0,1.0,0.0,0.0,0.0,0.0,1.0
Yəni o kimdisə,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Söyüş olub Nəysə falan,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Rengarenk,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bashgasina gir,0.0,1.0,1.0,0.0,0.0,0.0,1.0
Go zad iciller ,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Sonra nə deyərlər? Sənin 100minə ehtiyacın var sənin?,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Qagaa bu randomu atma sjjs,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bu nə Tayyip sevgisidi bilmirəm cəhənnəm qarşılıqlı olsa okeydə adam ərəbləri türklərdən daha çox sevir!,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Halaldi mənə sizidə casdirmagi bacardimSiz smalik dilində danisirsiz,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Lex azarkeşi deyil Sürix azarkeşidi(!),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uşağlar gəmimiz yola düşür binəyə manatdan )),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ən azından bir işare nebilim bir tutarlı sebeb lazim idi,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ola beləsi basasan,0.0,1.0,0.0,0.0,0.0,1.0,1.0
He bilki birde paylasma kohne video,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Amma hemen vaxti nece yellenir ona baxirdim lezzet eleyirdide )))),0.0,0.0,1.0,0.0,0.0,0.0,1.0
Ya beyninde bezi vitaminler catmir,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Əla ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boynun qiirlisn,0.0,1.0,0.0,0.0,0.0,0.0,1.0
O dünyada görəcəksiniz qəbul edib etmediyin,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Eynən çünki buna şərait yaradan ele özümüzük,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bele pis cixmasin. Wor corek tapmirsiz. Ama bal corek yemek isdeyirsiz,0.0,1.0,0.0,0.0,0.0,0.0,1.0
"Meneviyyatsizligina, kisiliksizliyine göre.",0.0,1.0,0.0,0.0,0.0,0.0,1.0
Bes kimin poxun yemeye gelmisen,0.0,1.0,1.0,0.0,0.0,0.0,1.0
marsello yenə peşman olub yalvarırdı qırmızı ala ala ama buların vecinədə deyil,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Siyasetden danisim?,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sənin deməyinnəndi o? İstərəm gedərəm istərəm qalaram, sene dexli yoxdu",0.0,1.0,0.0,0.0,0.0,0.0,1.0
O bilsəydiki onun mahnısı o düşük verlişdə səsləndiriləcək heç oxumazdı,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Reqib bu bedaheten gelir yoxsa kopyalayirsan dualari?),0.0,1.0,0.0,0.0,0.0,0.0,1.0
Dava duşse bu portuqallari doyerdik,1.0,1.0,0.0,0.0,0.0,0.0,1.0
Mafia onlayin ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Səncə bizim kimi rusa yaltaqlanır?,0.0,1.0,0.0,0.0,0.0,0.0,1.0
İran daha şərəfsizdi,1.0,1.0,0.0,0.0,0.0,0.0,1.0
ev verende inacacam birde uzuk,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oda nese oynamir axir vaxtlarbele getse gondereciyik,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Silah yardımı etməyibləre, Maddi yardım.",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Doğru qərarlardı , xeyrli olsun",0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qaqa deməy ogünnəri dönər bıçağıynan söhbətim düşdü əsəbləşdim tullandım bıçağın üstünə sonrası yadımda deyil,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Olan adamın,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Olmesınler nıye ele deyırsız ölüm hedıye olar bunun kımı ıtlere yasasınlar ama her gun olsunler,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Xəsdəlikdən vəfat edən Axirət Şəhidi sayılır ölümü arzu etmirəm onsuz guya yaşıyram ki hər şeyə həvəsi ölmüş insanam yaşamağa belə ölüm isdəsəydim çoxdan özümü öldürmüşdüm ama yaşamağada həvəs yoxdu ya helə ya belə ölüb gedəcəyik bidə özünə ölüm arzu edən Axirət Şəhidi sayılmır deyirsən haşa Allahsan? sən qərarı sən verirsən? onu Allah bilər kimə nə olur kim necə olur sən mən ona qərar verə bilmərik,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Allah heckese ele pis bir şey gosdermesinler,0.0,0.0,0.0,0.0,0.0,0.0,0.0
